# MoMo RefID glossary v2026-05-18 (2827 unique refids)
# Source: materials/MoMo RefID update 18 May 26.xlsx (team Product, updated mỗi đợt release)
# Format: name<TAB>refid, sorted ASC by refid
# Lookup patterns (see Rule 1.8 in guardrail):
#   Validate exists:  awk -F"	" -v r="<refid>" '$2==r{ok=1;exit} END{exit !ok}' refid-glossary.tsv
#   Get name:         awk -F"	" -v r="<refid>" '$2==r{print $1}' refid-glossary.tsv
#   Search by name:   grep -i "<keyword>" refid-glossary.tsv
name	refid
TPBank	105
ACFC	11222
Góp Lá Vá Rừng	2024_donate_ota
7-Eleven	7eleven_rewards
DEVELOPERS BANNER	BN_DEVERLOPERS_P1
Change Device ATO	ChangeDevice
Ưu Đãi	Choose_Promotion
Feature Test	FTCode_1710
Viễn thông VNPT	IVNPT
Cập nhật xác thực ví	KnowYourCustomerAuthorize
Học mãi	MOMONWAI20230405
Thanh toán phí/lệ phí	MOMOOIMI20200306
Thanh toán phí/lệ phí	MOMOOIMI20200306_new
Nộp thuế, lệ phí về đất đai, tài sản	MOMOYCQ220210316
Nộp thuế, lệ phí về đất đai, tài sản	MOMOYCQ220210316_new
Onboarding Tigger	Onboarding_Tigger
Trẻ mầm non Khu công nghiệp	Onesky_01
Dịch vụ Internet và Truyền hình SCTV	SCTVCAB_prepayment
Thanh toán tự động	SmartAutoDebit
Ưu đãi Du lịch - đi lại	TAB1
Điều hướng Tab me	TAB4
Truyền hình TV360	TV360
BE Test	Testtt
TravelSimWidget	TravelSimWidget
Vòng quay may mắn	Wheel_61
Abbott	abbott
ACS	acs2
Đăng ký ví	activation
Kiểm tra điều kiện tạo ví	activation_confirm_termination
Activation gateway	activation_gateway
Activation gateway config	activation_gateway_config
Túi Thần Tài Activation	activation_golden_pocket
Layout config	activation_layout_config
Promotion config	activation_promotion_config
Khôi phục tài khoản	activation_recovery_account
Terminal Account	activation_terminal_account
User dưới 18 tuổi	activation_under_18
Đăng ký thông tin KYB	adapter_kyb
Nhập hoá đơn siêu tốc	add_bill_ai
Thêm bạn	add_friend_screen
Thông tin thu thập tăng cường	add_risk_information
Ghi chú	add_transaction_note_bts
Address Book	address_book
landing page ads	ads_landing_page
Điểm Nạp/Rút	agency
Nạp tiền tại Điểm Nạp/Rút	agency_cashin
Nạp/Rút tiền tại Điểm Nạp/Rút	agency_cashin_cashout
Rút tiền tại Điểm Nạp/Rút	agency_cashout
Tìm điểm nạp rút	agency_map
Bảng tin	agency_news
Chi tiết rút tiền MoMo	agent_cash_out_detail
Rút tiền tại Điểm	agent_cash_out_money
Kiểm tra thông tin khách hàng	agent_check_info_by_phone
Quản lý hoa hồng	agent_commission_management_eu
Agent Contacts	agent_contacts
Quản lý công nợ	agent_debt_management_eu
Quản lý điểm cho sale	agent_home_for_sale
Chi tiết nợ phải trả	agent_liabilities_detail
Chỉnh sửa nợ phải trả	agent_liabilities_editor
Quản lý điểm	agent_management_detail_for_sale
Agent Mini App Config	agent_mini_app_config
Agent Print Bill	agent_print_bill
Quản lý khuyến mãi	agent_promotions_schemes
Chi tiết nợ phải thu	agent_receivable_detail
Chỉnh sửa nợ phải thu	agent_receivable_editor
Nhận tiền mặt	agent_receive_cash
Nạp tiền tại Điểm	agent_recharge
Cứu hộ xe máy Zuttoride	aggregate_rescue_car
Cứu hộ giao thông	aggregate_rescue_motorcycle
Aha Coffee	aha_coffee
Ahamove	ahamove_miniapp
Ahamove	ahamove_miniapp_disclaimer
Nạp tiền tài xế AhaMove	ahamove_topup
Vé máy bay	airline
Vé máy bay	airline.hpl
airline	airline_change_flight_myb
Airline 2.0	airline_confirm_pay
Mua vé máy bay	airline_landing_page
Dịch vụ bổ sung	airline_myb
airline	airline_passenger
Thêm mã ưu đãi	airline_select_promotion
Vé máy bay	airline_select_ticket
Mua kèm Data	airtime_cross_sale_data
Điều Khoản	alipay_term_condition
Chung cư An Gia Riverside	an_gia_riverside_apartment
Ancillary Airline	ancillary_airline
Điện lực An Giang	angiang_electric
Nước An Giang	angiang_water
Phòng khám An Hảo	anhhao_web_payment
Nước Sài Gòn - An Khê	ankhe_water
Thêm nguồn tiền khác	another_source_bank
PIHOME	anphugia_apartment
BQL PIHOME PRO	anphugiapro_apartment
Truyền hình AVG	anvien
Tất cả dịch vụ	app_all_service_bottom
Xem thêm dịch vụ	app_all_service_top
App Store Card	app_store_card
Thẻ đã mua	app_store_card_bought
Thông tin chung	appabout
ApplyStore	apply_store
Quét AR	ar
ar_popup	ar_popup
AR Techday	ar_techday
AuthNewPass	auth_new_pass
Authentication	authentication
Auto nhận tiền túi thần tài	auto_cash_in_golden_pocket_widget
Hoá đơn định kỳ và Dịch vụ liên kết	auto_cashin_cashout
Auto thả quà	auto_gift
Nạp Tiền Định Kỳ Túi Thần Tài	auto_invest_register
Thứ Tự Thực Hiện	auto_pick_logs
